Classes,Old Price,Price Change,New Price,date_range
Suzuki Fronx A/T / GL 2024,"1,149,900
EGP","trending_up
+400,100
EGP","1,550,000
EGP",2024-02-19
Citroën C Elysee A/T / Luxury 2024,"959,000
EGP","trending_up
+191,000
EGP","1,150,000
EGP",2024-02-14
Ford Focus A/T /  Titanium 5Dr 2023,"1,380,000
EGP","trending_up
+85,000
EGP","1,465,000
EGP",2024-02-13
Ford Focus A/T / Titanium 4d 2023,"1,385,000
EGP","trending_up
+100,000
EGP","1,485,000
EGP",2024-02-13
Ford Focus A/T / Connected 5d 2023,"1,340,000
EGP","trending_up
+85,000
EGP","1,425,000
EGP",2024-02-13
Ford Focus A/T / Connected 4d 2023,"1,350,000
EGP","trending_up
+100,000
EGP","1,450,000
EGP",2024-02-13
Ford Focus A/T / Trend 4d 2023,"1,290,000
EGP","trending_up
+100,000
EGP","1,390,000
EGP",2024-02-13
Jac JS3 A/T / Top Line 2024,"1,079,900
EGP","trending_up
+25,000
EGP","1,104,900
EGP",2024-02-13
Dongfeng A30 Shine A/T / SHINE -Limited Edition 2024,"1,125,000
EGP","trending_up
+60,000
EGP","1,185,000
EGP",2024-02-06
Chery Tiggo 3 Automtic / Tinted Glass 2024,"850,000
EGP","trending_up
+105,000
EGP","955,000
EGP",2024-02-01
Mini Mini Cooper S A/T / S 3-Door Iconic 2024,"2,050,000
EGP","trending_up
+370,000
EGP","2,420,000
EGP",2024-01-31
BMW X6 M A/T / M60I 2024,"7,300,000
EGP","trending_up
+1,700,000
EGP","9,000,000
EGP",2024-01-31
BMW X3 A/T / xDrive30i  xLine 2024,"3,800,000
EGP","trending_up
+800,000
EGP","4,600,000
EGP",2024-01-31
BMW 320 A/T / m340i xdrive 2024,"4,750,000
EGP","trending_up
+750,000
EGP","5,500,000
EGP",2024-01-31
BMW 320 A/T / 330 M SPORT 2024,"3,500,000
EGP","trending_up
+600,000
EGP","4,100,000
EGP",2024-01-31
BMW 320 A/T / Sport 2024,"2,750,000
EGP","trending_up
+600,000
EGP","3,350,000
EGP",2024-01-31
BMW 320 A/T / Luxury 2024,"2,575,000
EGP","trending_up
+525,000
EGP","3,100,000
EGP",2024-01-31
BMW 320 A/T / Advantage 2024,"2,400,000
EGP","trending_up
+500,000
EGP","2,900,000
EGP",2024-01-31
Ford Focus A/T /  Titanium 5Dr 2023,"1,230,000
EGP","trending_up
+150,000
EGP","1,380,000
EGP",2024-01-24
Ford Focus A/T / Connected 5d 2023,"1,190,000
EGP","trending_up
+150,000
EGP","1,340,000
EGP",2024-01-24
Ford Focus A/T / Titanium 4d 2023,"1,235,000
EGP","trending_up
+150,000
EGP","1,385,000
EGP",2024-01-24
Ford Focus A/T / Connected 4d 2023,"1,200,000
EGP","trending_up
+150,000
EGP","1,350,000
EGP",2024-01-24
Ford Focus A/T / Trend 4d 2023,"1,140,000
EGP","trending_up
+150,000
EGP","1,290,000
EGP",2024-01-24
Jac JS3 A/T / Top Line 2024,"919,900
EGP","trending_up
+160,000
EGP","1,079,900
EGP",2024-01-24
Chery Tiggo 3 Automtic / Tinted Glass 2024,"810,000
EGP","trending_up
+40,000
EGP","850,000
EGP",2024-01-21
Citroën C Elysee A/T / Luxury 2024,"889,000
EGP","trending_up
+70,000
EGP","959,000
EGP",2024-01-14
Jac JS3 A/T / Top Line 2024,"889,900
EGP","trending_up
+30,000
EGP","919,900
EGP",2024-01-07
Soueast DX8S Coupe A/T / Active 2024,"915,000
EGP","trending_up
+74,990
EGP","989,990
EGP",2024-01-03
Soueast DX7 NOVA A/T / Highline 2024,"979,900
EGP","trending_up
+10,000
EGP","989,900
EGP",2024-01-03
Chery Tiggo 3 Automtic / Tinted Glass 2024,"765,000
EGP","trending_up
+45,000
EGP","810,000
EGP",2024-01-02
Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2024,"760,000
EGP","trending_up
+130,000
EGP","890,000
EGP",2023-12-31
Bestune B70 A/T / Premium 2024,"1,245,000
EGP","trending_up
+30,000
EGP","1,275,000
EGP",2023-12-21
Bestune B70 A/T / Deluxe 2024,"1,180,000
EGP","trending_up
+30,000
EGP","1,210,000
EGP",2023-12-21
Ford Focus A/T /  Titanium 5Dr 2023,"1,130,000
EGP","trending_up
+100,000
EGP","1,230,000
EGP",2023-12-17
Ford Focus A/T / Connected 5d 2023,"1,090,000
EGP","trending_up
+100,000
EGP","1,190,000
EGP",2023-12-17
Ford Focus A/T / Titanium 4d 2023,"1,135,000
EGP","trending_up
+100,000
EGP","1,235,000
EGP",2023-12-17
Ford Focus A/T / Connected 4d 2023,"1,100,000
EGP","trending_up
+100,000
EGP","1,200,000
EGP",2023-12-17
Ford Focus A/T / Trend 4d 2023,"1,040,000
EGP","trending_up
+100,000
EGP","1,140,000
EGP",2023-12-17
Jac JS3 A/T / Top Line 2024,"824,900
EGP","trending_up
+65,000
EGP","889,900
EGP",2023-12-07
Citroën C Elysee A/T / Luxury 2024,"849,000
EGP","trending_up
+40,000
EGP","889,000
EGP",2023-12-05
Chery Tiggo 3 Automtic / Tinted Glass 2024,"720,000
EGP","trending_up
+45,000
EGP","765,000
EGP",2023-12-03
Soueast DX5 A/T / Top Line 2024,"779,000
EGP","trending_up
+81,000
EGP","860,000
EGP",2023-11-30
Geely Okavango A/T /Premium / (Abou Ghaly) 2024,"1,449,900
EGP","trending_up
+64,000
EGP","1,513,900
EGP",2023-11-14
Citroën C Elysee A/T / Luxury 2024,"759,000
EGP","trending_up
+90,000
EGP","849,000
EGP",2023-11-08
Geely Okavango A/T /Premium / (Abou Ghaly) 2024,"1,429,900
EGP","trending_up
+20,000
EGP","1,449,900
EGP",2023-11-01
Chery Tiggo 3 Automtic / Tinted Glass 2024,"680,000
EGP","trending_up
+40,000
EGP","720,000
EGP",2023-11-01
Jac JS3 A/T / Top Line 2024,"774,900
EGP","trending_up
+50,000
EGP","824,900
EGP",2023-10-31
Soueast DX5 A/T / Top Line 2024,"769,000
EGP","trending_up
+10,000
EGP","779,000
EGP",2023-10-29
Citroën C Elysee A/T / Luxury 2024,"749,000
EGP","trending_up
+10,000
EGP","759,000
EGP",2023-10-22
Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2024,"745,000
EGP","trending_up
+15,000
EGP","760,000
EGP",2023-10-16
Chery Tiggo 3 Automtic / Tinted Glass 2024,"665,000
EGP","trending_up
+15,000
EGP","680,000
EGP",2023-10-15
Ford Focus A/T /  Titanium 5Dr 2023,"1,080,000
EGP","trending_up
+50,000
EGP","1,130,000
EGP",2023-09-10
Ford Focus A/T / Connected 5d 2023,"1,040,000
EGP","trending_up
+50,000
EGP","1,090,000
EGP",2023-09-10
Ford Focus A/T / Titanium 4d 2023,"1,085,000
EGP","trending_up
+50,000
EGP","1,135,000
EGP",2023-09-10
Ford Focus A/T / Connected 4d 2023,"1,050,000
EGP","trending_up
+50,000
EGP","1,100,000
EGP",2023-09-10
Ford Focus A/T / Trend 4d 2023,"990,000
EGP","trending_up
+50,000
EGP","1,040,000
EGP",2023-09-10
Chery Tiggo 3 Automtic / Tinted Glass 2024,"625,000
EGP","trending_up
+40,000
EGP","665,000
EGP",2023-09-06
Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2024,"725,000
EGP","trending_up
+20,000
EGP","745,000
EGP",2023-09-03
Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2024,"700,000
EGP","trending_up
+25,000
EGP","725,000
EGP",2023-07-31
Chery Tiggo 3 Automtic / Tinted Glass 2024,"610,000
EGP","trending_up
+15,000
EGP","625,000
EGP",2023-07-19
Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2024,"650,000
EGP","trending_up
+50,000
EGP","700,000
EGP",2023-07-04
Ford Focus A/T / Connected 5d 2023,"860,000
EGP","trending_up
+180,000
EGP","1,040,000
EGP",2023-06-01
Ford Focus A/T / Titanium 4d 2023,"905,000
EGP","trending_up
+180,000
EGP","1,085,000
EGP",2023-06-01
Ford Focus A/T / Connected 4d 2023,"870,000
EGP","trending_up
+180,000
EGP","1,050,000
EGP",2023-06-01
Ford Focus A/T / Trend 4d 2023,"840,000
EGP","trending_up
+150,000
EGP","990,000
EGP",2023-06-01
Ford Focus A/T /  Titanium 5Dr 2023,"865,000
EGP","trending_up
+35,000
EGP","900,000
EGP",2023-05-03
Ford Focus A/T / Connected 5d 2023,"825,000
EGP","trending_up
+35,000
EGP","860,000
EGP",2023-05-03
Ford Focus A/T / Titanium 4d 2023,"870,000
EGP","trending_up
+35,000
EGP","905,000
EGP",2023-05-03
Ford Focus A/T / Connected 4d 2023,"835,000
EGP","trending_up
+35,000
EGP","870,000
EGP",2023-05-03
Ford Focus A/T / Trend 4d 2023,"805,000
EGP","trending_up
+35,000
EGP","840,000
EGP",2023-05-03
Ford Focus A/T /  Titanium 5Dr 2023,"835,000
EGP","trending_up
+30,000
EGP","865,000
EGP",2023-04-02
Ford Focus A/T / Connected 5d 2023,"795,000
EGP","trending_up
+30,000
EGP","825,000
EGP",2023-04-02
Ford Focus A/T / Titanium 4d 2023,"840,000
EGP","trending_up
+30,000
EGP","870,000
EGP",2023-04-02
Ford Focus A/T / Connected 4d 2023,"805,000
EGP","trending_up
+30,000
EGP","835,000
EGP",2023-04-02
Ford Focus A/T / Trend 4d 2023,"775,000
EGP","trending_up
+30,000
EGP","805,000
EGP",2023-04-02
Ford Focus A/T / Connected 5d 2023,"760,000
EGP","trending_up
+35,000
EGP","795,000
EGP",2023-03-02
Ford Focus A/T / Titanium 4d 2023,"805,000
EGP","trending_up
+35,000
EGP","840,000
EGP",2023-03-02
Ford Focus A/T / Connected 4d 2023,"770,000
EGP","trending_up
+35,000
EGP","805,000
EGP",2023-03-02
Ford Focus A/T / Trend 4d 2023,"740,000
EGP","trending_up
+35,000
EGP","775,000
EGP",2023-03-02
Ford Focus A/T /  Titanium 5Dr 2023,"760,000
EGP","trending_up
+40,000
EGP","800,000
EGP",2023-02-01
Ford Focus A/T / Connected 5d 2023,"720,000
EGP","trending_up
+40,000
EGP","760,000
EGP",2023-02-01
Ford Focus A/T / Titanium 4d 2023,"765,000
EGP","trending_up
+40,000
EGP","805,000
EGP",2023-02-01
Ford Focus A/T / Connected 4d 2023,"730,000
EGP","trending_up
+40,000
EGP","770,000
EGP",2023-02-01
Ford Focus A/T / Trend 4d 2023,"700,000
EGP","trending_up
+40,000
EGP","740,000
EGP",2023-02-01
Ford Focus A/T /  Titanium 5Dr 2023,"710,000
EGP","trending_up
+50,000
EGP","760,000
EGP",2023-01-18
Ford Focus A/T / Connected 5d 2023,"670,000
EGP","trending_up
+50,000
EGP","720,000
EGP",2023-01-18
Ford Focus A/T / Titanium 4d 2023,"715,000
EGP","trending_up
+50,000
EGP","765,000
EGP",2023-01-18
Ford Focus A/T / Connected 4d 2023,"680,000
EGP","trending_up
+50,000
EGP","730,000
EGP",2023-01-18
Ford Focus A/T / Trend 4d 2023,"560,000
EGP","trending_up
+140,000
EGP","700,000
EGP",2023-01-18
